file,label,koin_ke,center_x,center_y,radius_px,diameter_px
100_01.jpeg,koin_100,1,196,198,52,104
100_02.jpeg,koin_100,1,196,32,52,104
100_03.jpeg,koin_100,1,86,356,46,92
100_04.jpeg,koin_100,1,322,204,53,106
100_05.jpeg,koin_100,1,190,110,52,104
100_06.jpeg,koin_100,1,266,282,51,102
100_07.jpeg,koin_100,1,90,34,53,106
100_08.jpeg,koin_100,1,318,48,48,96
100_09.jpeg,koin_100,1,262,104,52,104
100_10.jpeg,koin_100,1,312,348,50,100
100_11.jpeg,koin_100,1,270,184,53,106
100_11.jpeg,koin_100,2,134,182,53,106
100_12.jpeg,koin_100,1,264,282,51,102
100_12.jpeg,koin_100,2,268,90,54,108
100_13.jpeg,koin_100,1,270,120,52,104
100_13.jpeg,koin_100,2,136,278,46,92
100_14.jpeg,koin_100,1,134,280,53,106
100_14.jpeg,koin_100,2,262,360,50,100
100_15.jpeg,koin_100,1,134,50,52,104
100_15.jpeg,koin_100,2,264,50,53,106
100_16.jpeg,koin_100,1,136,50,48,96
100_16.jpeg,koin_100,2,268,184,50,100
100_17.jpeg,koin_100,1,264,330,48,96
100_17.jpeg,koin_100,2,130,52,49,98
100_18.jpeg,koin_100,1,134,108,53,106
100_18.jpeg,koin_100,2,274,276,51,102
100_19.jpeg,koin_100,1,134,108,52,104
100_19.jpeg,koin_100,2,138,278,51,102
100_20.jpeg,koin_100,1,136,282,53,106
100_20.jpeg,koin_100,2,260,108,46,92
100_21.jpeg,koin_100,1,196,262,53,106
100_21.jpeg,koin_100,2,272,104,48,96
100_21.jpeg,koin_100,3,142,108,51,102
100_22.jpeg,koin_100,1,278,308,53,106
100_22.jpeg,koin_100,2,198,214,53,106
100_22.jpeg,koin_100,3,144,108,52,104
100_23.jpeg,koin_100,1,274,114,52,104
100_23.jpeg,koin_100,2,188,218,52,104
100_23.jpeg,koin_100,3,126,332,53,106
100_24.jpeg,koin_100,1,194,218,53,106
100_24.jpeg,koin_100,2,260,104,52,104
100_24.jpeg,koin_100,3,126,70,53,106
100_25.jpeg,koin_100,1,114,202,53,106
100_25.jpeg,koin_100,2,236,310,48,96
100_25.jpeg,koin_100,3,248,152,48,96
100_26.jpeg,koin_100,1,132,282,51,102
100_26.jpeg,koin_100,2,268,214,52,104
100_26.jpeg,koin_100,3,260,90,52,104
100_27.jpeg,koin_100,1,180,198,53,106
100_27.jpeg,koin_100,2,250,320,51,102
100_27.jpeg,koin_100,3,302,194,52,104
100_28.jpeg,koin_100,1,256,146,50,100
