file,label_asli,koin_ke,diameter_px,prediksi,status
1000_01.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_02.jpeg,Rp1000,1,114,Rp1000,BENAR
1000_03.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_04.jpeg,Rp1000,1,110,Rp1000,BENAR
1000_05.jpeg,Rp1000,1,114,Rp1000,BENAR
1000_06.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_07.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_08.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_09.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_10.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_11.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_11.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_12.jpeg,Rp1000,1,110,Rp1000,BENAR
1000_12.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_13.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_13.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_14.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_14.jpeg,Rp1000,2,110,Rp1000,BENAR
1000_15.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_15.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_16.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_16.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_17.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_17.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_18.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_18.jpeg,Rp1000,2,114,Rp1000,BENAR
1000_19.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_19.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_20.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_20.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_21.jpeg,Rp1000,1,114,Rp1000,BENAR
1000_21.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_21.jpeg,Rp1000,3,114,Rp1000,BENAR
1000_22.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_22.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_22.jpeg,Rp1000,3,112,Rp1000,BENAR
1000_23.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_23.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_23.jpeg,Rp1000,3,112,Rp1000,BENAR
1000_24.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_24.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_24.jpeg,Rp1000,3,112,Rp1000,BENAR
1000_25.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_25.jpeg,Rp1000,2,116,Rp200,SALAH
1000_25.jpeg,Rp1000,3,114,Rp1000,BENAR
1000_26.jpeg,Rp1000,1,114,Rp1000,BENAR
1000_26.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_26.jpeg,Rp1000,3,114,Rp1000,BENAR
1000_27.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_27.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_27.jpeg,Rp1000,3,116,Rp200,SALAH
1000_28.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_28.jpeg,Rp1000,2,116,Rp200,SALAH
1000_28.jpeg,Rp1000,3,116,Rp200,SALAH
1000_29.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_29.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_29.jpeg,Rp1000,3,116,Rp200,SALAH
1000_30.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_30.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_30.jpeg,Rp1000,3,112,Rp1000,BENAR
1000_31.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_31.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_31.jpeg,Rp1000,3,112,Rp1000,BENAR
1000_31.jpeg,Rp1000,4,116,Rp200,SALAH
1000_32.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_32.jpeg,Rp1000,2,114,Rp1000,BENAR
1000_32.jpeg,Rp1000,3,112,Rp1000,BENAR
1000_32.jpeg,Rp1000,4,112,Rp1000,BENAR
1000_33.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_33.jpeg,Rp1000,2,112,Rp1000,BENAR
1000_33.jpeg,Rp1000,3,110,Rp1000,BENAR
1000_33.jpeg,Rp1000,4,112,Rp1000,BENAR
1000_34.jpeg,Rp1000,1,112,Rp1000,BENAR
1000_34.jpeg,Rp1000,2,112,Rp1000,BENAR
